pages,volume,title,abstract,llm_location,reference type,record number,year,date,url,journal,index,short title,notes,issue,issn,accession number,decision,explanation,doi
6,8,"Dengue genetic divergence generates within-serotype antigenic variation, but serotypes dominate evolutionary dynamics","Dengue virus (DENV) exists as four genetically distinct serotypes, each of which is historically assumed to be antigenically uniform. Recent analyses suggest that antigenic heterogeneity may exist within each serotype, but its source, extent and impact remain unclear. Here, we construct a sequence-based model to directly map antigenic change to underlying genetic divergence. We identify 49 specific substitutions and four colinear substitution clusters that robustly predict dengue antigenic relationships. We report moderate antigenic diversity within each serotype, resulting in genotype-specific patterns of heterotypic cross-neutralization. We also quantify the impact of antigenic variation on real-world DENV population dynamics, and find that serotype-level antigenic fitness is a dominant driver of dengue clade turnover. These results provide a more nuanced understanding of the relationship between dengue genetic and antigenic evolution, and quantify the effect of antigenic fitness on dengue evolutionary dynamics.",NA, Journal Article,151172,2019,"08 06 Research Support, Non-U.S. Gov't Research Support, U.S. Gov't, Non-P.H.S.","https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med16&DO=10.7554%2feLife.42496 Bell, Sidney M. Molecular and Cell Biology Program, University of Washington, Seattle, United States. Katzelnick, Leah. Division of Infectious Diseases and Vaccinology, University of California, Berkeley, Berkeley, United States. Katzelnick, Leah. Department of Biology, University of Florida, Gainesville, United States. Bedford, Trevor. Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Research Center, Seattle, United States.",eLife,552745,"Dengue genetic divergence generates within-serotype antigenic variation, but serotypes dominate evolutionary dynamics","Using Smart Source Parsing Bell, Sidney M Katzelnick, Leah Bedford, Trevor e42496 R01 AI114703 R01AI114703-01 R35 GM119774 P01 AI106695 R35GM119774-01 DGE-1256082 S10 OD020069 P01AI106695",8,2050-084X,"31385805 Cluster Analysis *Dengue/vi [Virology] *Dengue Virus/cl [Classification] *Dengue Virus/ge [Genetics] *Evolution, Molecular Genetic Variation *Genotype Neutralization Tests Sequence Homology *Serogroup",Include,"The abstract satisfies the inclusion criteria by presenting a mathematical model that quantifies the impact of antigenic variation on dengue population dynamics, which can be considered a clinical and health system outcome. Additionally, it focuses on infectious disease by modeling genetic and antigenic changes in dengue virus, a human infection, according to its sequencing data. There is an emphasis on real-world health implications, adhering to the specific outcomes needed for inclusion.",https://dx.doi.org/10.7554/eLife.42496
,14(no pagination),Development and validation of a random forest algorithm for source attribution of animal and human Salmonella Typhimurium and monophasic variants of S. Typhimurium isolates in England and Wales utilising whole genome sequencing data,"Source attribution has traditionally involved combining epidemiological data with different pathogen characterisation methods, including 7-gene multi locus sequence typing (MLST) or serotyping, however, these approaches have limited resolution. In contrast, whole genome sequencing data provide an overview of the whole genome that can be used by attribution algorithms. Here, we applied a random forest (RF) algorithm to predict the primary sources of human clinical Salmonella Typhimurium (S. Typhimurium) and monophasic variants (monophasic S. Typhimurium) isolates. To this end, we utilised single nucleotide polymorphism diversity in the core genome MLST alleles obtained from 1,061 laboratory-confirmed human and animal S. Typhimurium and monophasic S. Typhimurium isolates as inputs into a RF model. The algorithm was used for supervised learning to classify 399 animal S. Typhimurium and monophasic S. Typhimurium isolates into one of eight distinct primary source classes comprising common livestock and pet animal species: cattle, pigs, sheep, other mammals (pets: mostly dogs and horses), broilers, layers, turkeys, and game birds (pheasants, quail, and pigeons). When applied to the training set animal isolates, model accuracy was 0.929 and kappa 0.905, whereas for the test set animal isolates, for which the primary source class information was withheld from the model, the accuracy was 0.779 and kappa 0.700. Subsequently, the model was applied to assign 662 human clinical cases to the eight primary source classes. In the dataset, 60/399 (15.0%) of the animal and 141/662 (21.3%) of the human isolates were associated with a known outbreak of S. Typhimurium definitive type (DT) 104. All but two of the 141 DT104 outbreak linked human isolates were correctly attributed by the model to the primary source classes identified as the origin of the DT104 outbreak. A model that was run without the clonal DT104 animal isolates produced largely congruent outputs (training set accuracy 0.989 and kappa 0.985; test set accuracy 0.781 and kappa 0.663). Overall, our results show that RF offers considerable promise as a suitable methodology for epidemiological tracking and source attribution for foodborne pathogens. Copyright © 2024 Guzinski, Tang, Chattaway, Dallman and Petrovska.",England and Wales, Journal Article,590464,2023,,"https://www.frontiersin.org/journals/microbiology# https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emexa&DO=10.3389%2ffmicb.2023.1254860 (Chattaway, Dallman) Gastrointestinal Bacteria Reference Unit, UK Health Security Agency, London, United Kingdom",Frontiers in Microbiology,510130,Development and validation of a random forest algorithm for source attribution of animal and human Salmonella Typhimurium and monophasic variants of S. Typhimurium isolates in England and Wales utilising whole genome sequencing data,Embase,,1664-302X (electronic) 1664-302X,2029124868 core-genome multi locus sequence typing machine learning random forest Salmonella Typhimurium source attribution algorithm allele article bovine broiler Columbidae core genome diagnosis dog England female foodborne pathogen game bird genomics horse human livestock multilocus sequence typing nonhuman pet animal Phasianinae pig quail Salmonella enterica serovar Typhimurium serotyping sheep single nucleotide polymorphism turkey (bird) Wales whole genome sequencing,Include,"The study presents an original primary peer-reviewed research published in a scientific journal and employs a random forest algorithm, which is a machine learning model, for source attribution of Salmonella Typhimurium, an infectious disease-causing agent. The model is applied to predict the primary sources of human clinical cases of this pathogen, thus providing a health outcome within an infected population. This matches the inclusion criteria as it involves a statistical model with a clinical outcome related to an infectious disease.",https://dx.doi.org/10.3389/fmicb.2023.1254860
e1004782,12,Distinguishing Antimicrobial Models with Different Resistance Mechanisms via Population Pharmacodynamic Modeling,"Semi-mechanistic pharmacokinetic-pharmacodynamic (PK-PD) modeling is increasingly used for antimicrobial drug development and optimization of dosage regimens, but systematic simulation-estimation studies to distinguish between competing PD models are lacking. This study compared the ability of static and dynamic in vitro infection models to distinguish between models with different resistance mechanisms and support accurate and precise parameter estimation. Monte Carlo simulations (MCS) were performed for models with one susceptible bacterial population without (M1) or with a resting stage (M2), a one population model with adaptive resistance (M5), models with pre-existing susceptible and resistant populations without (M3) or with (M4) inter-conversion, and a model with two pre-existing populations with adaptive resistance (M6). For each model, 200 datasets of the total bacterial population were simulated over 24h using static antibiotic concentrations (256-fold concentration range) or over 48h under dynamic conditions (dosing every 12h; elimination half-life: 1h). Twelve-hundred random datasets (each containing 20 curves for static or four curves for dynamic conditions) were generated by bootstrapping. Each dataset was estimated by all six models via population PD modeling to compare bias and precision. For M1 and M3, most parameter estimates were unbiased (<10%) and had good imprecision (<30%). However, parameters for adaptive resistance and inter-conversion for M2, M4, M5 and M6 had poor bias and large imprecision under static and dynamic conditions. For datasets that only contained viable counts of the total population, common statistical criteria and diagnostic plots did not support sound identification of the true resistance mechanism. Therefore, it seems advisable to quantify resistant bacteria and characterize their MICs and resistance mechanisms to support extended simulations and translate from in vitro experiments to animal infection models and ultimately patients.",NA, Journal Article,222534,2016,"Mar Research Support, Non-U.S. Gov't","https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&DO=10.1371%2fjournal.pcbi.1004782 Gregoire, Nicolas. INSERM U1070, Poitiers, France. Couet, William. INSERM U1070, Poitiers, France. Bulitta, Jurgen B. Center for Pharmacometrics and Systems Pharmacology, Department of Pharmaceutics, College of Pharmacy, University of Florida, Gainesville, Florida, United States of America.",PLoS Computational Biology,456708,Distinguishing Antimicrobial Models with Different Resistance Mechanisms via Population Pharmacodynamic Modeling,"Jacobs, Matthieu Gregoire, Nicolas Couet, William Bulitta, Jurgen B",3,1553-7358,"26967893 *Anti-Bacterial Agents/pk [Pharmacokinetics] *Bacteria/de [Drug Effects] *Bacteria/me [Metabolism] Computer Simulation Dose-Response Relationship, Drug Drug Resistance, Bacterial/de [Drug Effects] *Drug Resistance, Bacterial/ph [Physiology] *Models, Biological Models, Statistical Pharmacokinetics 0 (Anti-Bacterial Agents)",Include,"The abstract describes a study that employs semi-mechanistic pharmacokinetic-pharmacodynamic (PK-PD) modeling, which is a form of mathematical modeling, to explore different resistance mechanisms of bacteria under antimicrobial treatment. It involves Monte Carlo simulations and population PD modeling, indicating the use of a mathematical model and sensitivity analyses. The focus is on antimicrobial drug development, which has implications for clinical and health systems outcomes related to infectious diseases, therefore, it meets the inclusion criteria. Although specific health outcomes in humans are not directly described, the research underpins antimicrobial strategies relevant to human infectious disease treatment, implying that outcomes relevant to the health system are a part of the study's framework.",https://dx.doi.org/10.1371/journal.pcbi.1004782
855-60,24,Effect of spatial distribution of T-Cells and HIV load on HIV progression,"<jats:title>Abstract</jats:title>
               <jats:p>Motivation: We present a spatial-temporal (ST) human immunodeficiency virus (HIV) simulation model to investigate the spatial distribution of viral load and T-cells during HIV progression. The proposed model uses the Finite Element (FE) method to divide a considered infected region into interconnected subregions each containing viral population and T-cells. HIV T-cells and viral load are traced and counted within and between subregions to estimate their effect upon neighboring regions. The objective is to estimate overall ST changes of HIV progression and to study the ST therapeutic effect upon HIV dynamics in spatial and temporal domains. We introduce sub-regional (spatial) parameters of T-cells and viral load production and elimination to estimate the spatial propagation and interaction of HIV dynamics under the influence of a 3TC D4T Reverse Transcriptase Inhibitors (RTI) drug regimen.</jats:p>
               <jats:p>Results: In terms of percentage change standard deviation, we show that the average rate per 10 weeks (throughout a 10-year clinical trial) of the ST CD4+ change is 5.35% 1.3 different than that of the CD4+ rate of change in laboratory datasets, and the average rate of change of the ST CD8+ is 4.98% 1.93 different than that of the CD8+ rate of change. The half-life of the ST CD4+ count is 1.68% 3.381 different than the actual half-life of the CD4+ count obtained from laboratory datasets. The distribution of the viral load and T-cells in a considered region tends to cluster during the HIV progression once a threshold of 86–89% viral accumulation is reached.</jats:p>
               <jats:p>Availability: Executable code and data libraries are available by contacting the corresponding author.</jats:p>
               <jats:p>Implementation: C++ and Java have been used to simulate the suggested model. A Pentium III or higher platform is recommended.</jats:p>
               <jats:p>Contact:  george.towfic@clarke.edu</jats:p>
               <jats:p>Supplementary information: Supplementary data are available at Bioinformatics online.</jats:p>",NA, Journal Article,357036,2008,Mar-15,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med7&DO=10.1093%2fbioinformatics%2fbtn008,Bioinformatics,305149,Effect of spatial distribution of T-Cells and HIV load on HIV progression,"Graziano, Frank M Kettoola, Samira Y Munshower, Judy M Stapleton, Jack T Towfic, George J",6,1367-4811,"18187444 Computer Simulation Disease Progression HIV/de [Drug Effects] *HIV/im [Immunology] HIV Infections/dt [Drug Therapy] *HIV Infections/im [Immunology] *HIV Infections/vi [Virology] Humans *Models, Immunological Reverse Transcriptase Inhibitors/ad [Administration & Dosage] T-Lymphocytes/de [Drug Effects] *T-Lymphocytes/im [Immunology] *T-Lymphocytes/vi [Virology] *Viral Load/mt [Methods] 0 (Anti-HIV Agents) 0 (Reverse Transcriptase Inhibitors)",Include,"The abstract describes a mathematical model, specifically a spatial-temporal simulation model using the Finite Element method, to study HIV progression and the therapeutic effects of a drug regimen. Though it doesn't explicitly state clinical outcomes, the focus on HIV dynamics and therapeutic effects in humans implies health outcomes relevant to infected populations. Thus, it meets the inclusion criteria.",https://dx.doi.org/10.1093/bioinformatics/btn008
2,10,Empirical Study on Classifiers for Earlier Prediction of COVID-19 Infection Cure and Death Rate in the Indian States,"Machine Learning methods can play a key role in predicting the spread of respiratory infection with the help of predictive analytics. Machine Learning techniques help mine data to better estimate and predict the COVID-19 infection status. A Fine-tuned Ensemble Classification approach for predicting the death and cure rates of patients from infection using Machine Learning techniques has been proposed for different states of India. The proposed classification model is applied to the recent COVID-19 dataset for India, and a performance evaluation of various state-of-the-art classifiers to the proposed model is performed. The classifiers forecasted the patients' infection status in different regions to better plan resources and response care systems. The appropriate classification of the output class based on the extracted input features is essential to achieve accurate results of classifiers. The experimental outcome exhibits that the proposed Hybrid Model reached a maximum F1-score of 94% compared to Ensembles and other classifiers like Support Vector Machine, Decision Trees, and Gaussian Naive Bayes on a dataset of 5004 instances through 10-fold cross-validation for predicting the right class. The feasibility of automated prediction for COVID-19 infection cure and death rates in the Indian states was demonstrated.",India, Journal Article,49104,2022,Jan-02,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=pmnm7&DO=10.3390%2fhealthcare10010085 Ahmed, Shakeel. Department of Computer Science, College of Computer Sciences and Information Technology, King Faisal University, Al-Ahsa 31982, Saudi Arabia. Alhumam, Abdulaziz. Department of Computer Science, College of Computer Sciences and Information Technology, King Faisal University, Al-Ahsa 31982, Saudi Arabia. Srinivasu, Parvathaneni Naga. Department of Computer Science and Engineering, Gitam Institute of Technology, GITAM Deemed to be University, Visakhapatnam 530045, India.",Healthcare,519000,Empirical Study on Classifiers for Earlier Prediction of COVID-19 Infection Cure and Death Rate in the Indian States,"Using Smart Source Parsing Jan Guleria, Pratiyush Ahmed, Shakeel Alhumam, Abdulaziz Srinivasu, Parvathaneni Naga 85",1,2227-9032,35052249,Include,"The abstract meets the inclusion criteria as it presents a machine learning model (a type of mathematical model) used to predict clinical outcomes (cure and death rates) related to an infectious disease (COVID-19). It involves statistical models (e.g., Ensemble Classification) and evaluates their performance, which are in line with the inclusion criteria. Additionally, the focus is on human health outcomes relating to an infectious disease.",https://dx.doi.org/10.3390/healthcare10010085
100748,46,Ensemble<sup>2</sup>: Scenarios ensembling for communication and performance analysis,"Throughout the COVID-19 pandemic, scenario modeling played a crucial role in shaping the decision-making process of public health policies. Unlike forecasts, scenario projections rely on specific assumptions about the future that consider different plausible states-of-the-world that may or may not be realized and that depend on policy interventions, unpredictable changes in the epidemic outlook, etc. As a consequence, long-term scenario projections require different evaluation criteria than the ones used for traditional short-term epidemic forecasts. Here, we propose a novel ensemble procedure for assessing pandemic scenario projections using the results of the Scenario Modeling Hub (SMH) for COVID-19 in the United States (US). By defining a ""scenario ensemble"" for each model and the ensemble of models, termed ""Ensemble<sup>2</sup>"", we provide a synthesis of potential epidemic outcomes, which we use to assess projections' performance, bypassing the identification of the most plausible scenario. We find that overall the Ensemble<sup>2</sup> models are well-calibrated and provide better performance than the scenario ensemble of individual models. The ensemble procedure accounts for the full range of plausible outcomes and highlights the importance of scenario design and effective communication. The scenario ensembling approach can be extended to any scenario design strategy, with potential refinements including weighting scenarios and allowing the ensembling process to evolve over time.",United States, Journal Article,26449,2024,Mar,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med25&DO=10.1016%2fj.epidem.2024.100748 St-Onge, Guillaume. Laboratory for the Modeling of Biological and Socio-technical Systems, Northeastern University, Network Science Institute, Boston, MA, USA. Davis, Jessica T. Laboratory for the Modeling of Biological and Socio-technical Systems, Northeastern University, Network Science Institute, Boston, MA, USA. Chinazzi, Matteo. Laboratory for the Modeling of Biological and Socio-technical Systems, Northeastern University, Network Science Institute, Boston, MA, USA; The Roux Institute, Northeastern University, Portland, ME, USA. Howerton, Emily. Department of Biology and Center for Infectious Disease Dynamics, The Pennsylvania State University, University Park, PA, USA. Lessler, Justin. Department of Epidemiology, University of North Carolina Gillings School of Public Health, Chapel Hill, NC, USA; Carolina Population Center, University of North Carolina, Chapel Hill, NC, USA; Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, USA. Runge, Michael C. U.S. Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA. Shea, Katriona. Department of Biology and Center for Infectious Disease Dynamics, The Pennsylvania State University, University Park, PA, USA. Truelove, Shaun. Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, USA; Department of International Health, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, USA. Viboud, Cecile. Division of International Epidemiology and Population Studies, Fogarty International Center, National Institutes of Health, Bethesda, MD, USA.",Epidemics,161511,Ensemble<sup>2</sup>: Scenarios ensembling for communication and performance analysis,"Bay, Clara St-Onge, Guillaume Davis, Jessica T Chinazzi, Matteo Howerton, Emily Lessler, Justin Runge, Michael C Shea, Katriona Truelove, Shaun Viboud, Cecile Vespignani, Alessandro S1755-4365(24)00009-4 U01 IP001137",,1878-0067,38394928 United States/ep [Epidemiology] *Pandemics Forecasting COVID-19/ep [Epidemiology] *covid-19 Public Policy Communication,Include,"The abstract describes the development of a mathematical model involving scenario ensembles for COVID-19 pandemic projections, which is a type of infectious disease. It represents original research presented in a scientific journal and discusses epidemic outcomes, which align with clinical and health systems outcomes. The focus is on human health, meeting the inclusion criteria, and does not specifically mention any exclusion criteria.",https://dx.doi.org/10.1016/j.epidem.2024.100748
39-47,64,Estimation of differential occupational risk of COVID-19 by comparing risk factors with case data by occupational group,"<jats:title>Abstract</jats:title><jats:sec><jats:title>Background</jats:title><jats:p>The disease burden of coronavirus disease 2019 (COVID‐19) is not uniform across occupations. Although healthcare workers are well‐known to be at increased risk, data for other occupations are lacking. In lieu of this, models have been used to forecast occupational risk using various predictors, but no model heretofore has used data from actual case numbers. This study assesses the differential risk of COVID‐19 by occupation using predictors from the Occupational Information Network (O*NET) database and correlating them with case counts published by the Washington State Department of Health to identify workers in individual occupations at highest risk of COVID‐19 infection.</jats:p></jats:sec><jats:sec><jats:title>Methods</jats:title><jats:p>The O*NET database was screened for potential predictors of differential COVID‐19 risk by occupation. Case counts delineated by occupational group were obtained from public sources. Prevalence by occupation was estimated and correlated with O*NET data to build a regression model to predict individual occupations at greatest risk.</jats:p></jats:sec><jats:sec><jats:title>Results</jats:title><jats:p>Two variables correlate with case prevalence: disease exposure (<jats:italic>r</jats:italic> = 0.66;<jats:italic>p</jats:italic> = 0.001) and physical proximity (<jats:italic>r</jats:italic> = 0.64;<jats:italic>p</jats:italic> = 0.002), and predict 47.5% of prevalence variance (<jats:italic>p</jats:italic> = 0.003) on multiple linear regression analysis. The highest risk occupations are in healthcare, particularly dental, but many nonhealthcare occupations are also vulnerable.</jats:p></jats:sec><jats:sec><jats:title>Conclusions</jats:title><jats:p>Models can be used to identify workers vulnerable to COVID‐19, but predictions are tempered by methodological limitations. Comprehensive data across many states must be collected to adequately guide implementation of occupation‐specific interventions in the battle against COVID‐19.</jats:p></jats:sec>",Washington State, Journal Article,121754,2021,1,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med19&DO=10.1002%2fajim.23199 Zhang, Michael. Department of Epidemiology and Biostatistics, School of Public Health, University of Nevada, Las Vegas, Nevada, USA.",American Journal of Industrial Medicine,68504,Estimation of differential occupational risk of COVID-19 by comparing risk factors with case data by occupational group,"Zhang, Michael",1,1097-0274,33210336 Barbering *COVID-19/ep [Epidemiology] Firefighters/sn [Statistics & Numerical Data] Health Personnel/sn [Statistics & Numerical Data] Humans Law Enforcement Mortuary Practice *Occupational Exposure/sn [Statistics & Numerical Data] Occupational Health *Physical Distancing Prevalence Risk Factors School Teachers/sn [Statistics & Numerical Data] Time Factors Transportation Washington/ep [Epidemiology] Workplace,Include,"The abstract meets the inclusion criteria as it involves a model assessing the differential risk of COVID-19, which is an infectious disease, across different occupations using actual case data. It implies a statistical model applied to an infectious disease and presents a health outcome related to COVID-19 infection risk in humans. There is no indication of excluded criteria such as behavior/attitude as an outcome or being purely theoretical.",https://dx.doi.org/10.1002/ajim.23199
199-204,47,Estimation of prevalence of pulmonary tuberculosis in the past by simulation analysis,"The authors tried to estimate the prevalence of active cases in 1953 provided that the criteria in 1953 were the same as that in 1958 or 1963, by moving the system of an epidemetric model of tuberculosis backward. If the figures of prevalence during 1953 to 1968 are comparable, the reduction rates for cases without cavity are 35% during 1953 to 1958, 30% during 1958 to 1963 and 25% during 1963 to 1968, and for the cases with cavity, they are 35%, 30% and 11%;, respectively. Comparing various figures of prevalence estimated in 1953, the trend of prevalence in Japan is discussed.",Japan, Journal Article,568065,1972,,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emcl1&AN=293150620 K. Aoki, Dept. Epidemiol., Aichi Cancer Cent., Res. Inst., Nagoya shi, Japan",Tuberculosis,1630,Estimation of prevalence of pulmonary tuberculosis in the past by simulation analysis,Embase Using Smart Source Parsing,7,,293150620 lung tuberculosis model prevalence simulation tuberculosis,Include,"The study utilizes an epidemetric model, which is a type of mathematical model, to estimate the prevalence of pulmonary tuberculosis, an infectious disease. The abstract mentions outcomes related to the prevalence rates of tuberculosis cases over different time periods, indicating a clinical outcome relevant to human health. Therefore, it meets the inclusion criteria for modeling infectious diseases with a health outcome in humans.",
4,62,Evaluating the Relationship between Vancomycin Trough Concentration and 24-Hour Area under the Concentration-Time Curve in Neonates,"Bacterial sepsis is a major cause of morbidity and mortality in neonates, especially those involving methicillin-resistant Staphylococcus aureus (MRSA). Guidelines by the Infectious Diseases Society of America recommend the vancomycin 24-h area under the concentration-time curve to MIC ratio (AUC<sub>24</sub>/MIC) of >400 as the best predictor of successful treatment against MRSA infections when the MIC is <=1 mg/liter. The relationship between steady-state vancomycin trough concentrations and AUC<sub>24</sub> values (mg.h/liter) has not been studied in an Asian neonatal population. We conducted a retrospective chart review in Singapore hospitals and collected patient characteristics and therapeutic drug monitoring data from neonates on vancomycin therapy over a 5-year period. A one-compartment population pharmacokinetic model was built from the collected data, internally validated, and then used to assess the relationship between steady-state trough concentrations and AUC<sub>24</sub> A Monte Carlo simulation sensitivity analysis was also conducted. A total of 76 neonates with 429 vancomycin concentrations were included for analysis. Median (interquartile range) was 30 weeks (28 to 36 weeks) for postmenstrual age (PMA) and 1,043 g (811 to 1,919 g) for weight at the initiation of treatment. Vancomycin clearance was predicted by weight, PMA, and serum creatinine. For MRSA isolates with a vancomycin MIC of <=1, our major finding was that the minimum steady-state trough concentration range predictive of achieving an AUC<sub>24</sub>/MIC of >400 was 8 to 8.9 mg/liter. Steady-state troughs within 15 to 20 mg/liter are unlikely to be necessary to achieve an AUC<sub>24</sub>/MIC of >400, whereas troughs within 10 to 14.9 mg/liter may be more appropriate.",Singapore, Journal Article,189191,2018,4,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med15&DO=10.1128%2fAAC.01647-17 Lim, Chuan Poh. Department of Pharmacy, Singapore General Hospital, Singapore tseng.sheng.hsuan@u.nus.edu lim.chuan.poh@sgh.com.sg. Chen, Qi. Department of Pharmacy, KK Women's and Children's Hospital, Singapore. Tang, Cheng Cai. Lilly-NUS Centre for Clinical Pharmacology Pte, Ltd., Singapore. Kong, Sing Teang. Department of Pharmacy, Singapore General Hospital, Singapore. Ho, Paul Chi-Lui. Department of Pharmacy, National University of Singapore, Singapore.",Antimicrobial Agents & Chemotherapy,382484,Evaluating the Relationship between Vancomycin Trough Concentration and 24-Hour Area under the Concentration-Time Curve in Neonates,"Using Smart Source Parsing Tseng, Sheng-Hsuan Lim, Chuan Poh Chen, Qi Tang, Cheng Cai Kong, Sing Teang Ho, Paul Chi-Lui e01647-17",4,1098-6596,"29358290 Female Humans Infant, Newborn Male Methicillin-Resistant Staphylococcus aureus/de [Drug Effects] Microbial Sensitivity Tests Monte Carlo Method Retrospective Studies Sepsis/mi [Microbiology] Sepsis/pc [Prevention & Control] *Vancomycin/pd [Pharmacology] 0 (Anti-Bacterial Agents) 6Q205EH1VU (Vancomycin)",Include,"The study involves a one-compartment population pharmacokinetic model and a Monte Carlo simulation sensitivity analysis, satisfying the mathematical model criterion. It is original research published in a scientific journal and investigates clinical outcomes related to neonatal bacterial sepsis caused by MRSA, addressing health outcomes within an infected population. The focus is on achieving vancomycin therapeutic goals, which is a clinical health outcome.",https://dx.doi.org/10.1128/AAC.01647-17
125-138,23(2),"Evaluation of a prototype artificial life model to simulate the interactions between the human immune system, human papillomavirus type 16 and therapeutic vaccines","Objective: To evaluate the artificial life model that simulates behaviours based on interactions occurring between the human immune system, the life cycle of human papillomavirus type 16 and certain types of therapeutic vaccines through virtual experiments on the constructed prototype. Material(s) and Method(s): We developed the HPV16-ALIFE prototype using artificial life techniques to be used as a virtual laboratory. To evaluate the model, we analysed the responses of the simulated immune system under 2 circumstances: when a persistent infection is present that originates from HPV16 and causes lesions, and when the nanodevice releases a dose as part of a therapeutic vaccination strategy. Performing virtual trials means we can produce results for subsequent analysis and comparison with real-world clinical data. Result(s) and Conclusion(s): The simulations enabled us to observe the proliferation of different cell populations considered in the model, levels of viral protein expression and cytokine secretion, transition stages of the developing infectious process-, low- and high-grade intraepithelial lesions, pre-cancer, and cancer status. The virtual patients who did not receive vaccines developed cancer status with peak rates of 18.86%. The patients who received a vaccination strategy reported a significant decrease in their cancer status, with peak rates varying between 0.48 and 3.12%, according to the specifications associated with each vaccine evaluated. The simulated immune system proved responsive to the activity of the virus and the vaccine. Copyright © 2021",NA, Journal Article,584143,2022,01-May,https://www.sciencedirect.com/journal/vacunas/issues https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed24&DO=10.1016%2fj.vacun.2021.07.003,Vacunas,214239,"Evaluation of a prototype artificial life model to simulate the interactions between the human immune system, human papillomavirus type 16 and therapeutic vaccines",Embase,,1576-9887 1578-8857,2014287374 Artificial life Cervical cancer hpv16 Simulation prototype Therapeutic vaccine article cancer patient cell population cell proliferation computer simulation cytokine release human Human papillomavirus type 16 immune system life cycle nonhuman papillomavirus infection/dt [Drug Therapy] papillomavirus infection/pc [Prevention] persistent virus infection protein expression squamous intraepithelial lesion of the cervix uterine cervix carcinoma in situ vaccination virus cell interaction cytokine/ec [Endogenous Compound] Human papilloma virus vaccine/dt [Drug Therapy] viral protein/ec [Endogenous Compound] nanodevice,Include,The study presents a mathematical model using artificial life techniques to simulate interactions with HPV type 16 and evaluates clinical outcomes such as cancer status in humans. It contributes original primary research on infectious disease modelling and measures a health outcome within an infected population following infection.,https://dx.doi.org/10.1016/j.vacun.2021.07.003
