source_doi,total_citations,policy_document_id,source_title,document_title,published_on,document_url,type,subtype,country,topics,classifications
https://dx.doi.org/10.1073/pnas.1504964112,36.0,governmentofegypt-eb10cf0656fd1b1ed170f361be66d39d,Government of Egypt,The State Of Broadband 2018: Broadband Catalyzing Sustainable Development,2018-09-10,http://www.mcit.gov.eg/Upcont/Documents/Reports%20and%20Documents_4102018000_State_of_Broadband_2018_Broadband_Catalyzing_Sustainable_Development.pdf,government,,Egypt,5G; Internet of things; Internet access,"science and technology; economy, business and finance>economic sector>computing and information technology; education"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,governmentofsouthafrica-21c168cd7edc829916de6bbe914a2cd2,Government of South Africa,"Climate Change 2022 : Impacts, Adaptation and Vulnerability",2022-07-29,https://soer.environment.gov.za/soer/UploadLibraryImages/UploadDocuments/180123124621_IPPC%20working%20group%20ii.pdf,government,,South Africa,Environment; Nature; Global environmental issues,environment; environment>natural resources>water; health
https://dx.doi.org/10.1073/pnas.1504964112,36.0,idrc-41b1bcda7df4a86c9b8f53c38f0931b2,International Development Research Centre,Civil registration and vital statistics (CRVS) systems in the face of the COVID-19 pandemic : a literature review,2021-06-03,https://idl-bnc-idrc.dspacedirect.org/handle/10625/60206,think tank,,Canada,Coronavirus disease 2019; COVID-19 pandemic; Civil registration,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1073/pnas.1504964112,36.0,idrc-4af63965ae67b2656ff30d45d52db5d8,International Development Research Centre,Mapping big data solutions for the sustainable development goals : draft,2018-03-20,https://idl-bnc-idrc.dspacedirect.org/handle/10625/56906,think tank,,Canada,Sustainable Development Goals; Sustainability; Data analysis,"economy, business and finance>economic sector>computing and information technology; science and technology; environment"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,idrc-7b316b912f4c963911634d64c9d83adb,International Development Research Centre,Systèmes d’enregistrement et de statistiques de l’état civil (ESEC) à l’épreuve de la pandémie de COVID-19 : une revue de littérature,2021-06-03,https://idl-bnc-idrc.dspacedirect.org/handle/10625/60205,think tank,,Canada,COVID-19 pandemic; Coronavirus disease 2019; Health,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1073/pnas.1504964112,36.0,idrc-a9cea6c4f16790a90553a132eb399cb6,International Development Research Centre,Annex 19 : predictive model for the dengue incidences in Sri Lanka using mobile network big data.,2019-09-23,https://idl-bnc-idrc.dspacedirect.org/handle/10625/58136,think tank,,Canada,Artificial neural network; Machine learning; Deep learning,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1073/pnas.1504964112,36.0,idrc-ea49aa21ba1be30551bfd1bda729e73e,International Development Research Centre,Annex 19 : predicting population-level socio-economic characteristics using Call Detail Records (CDRs) in Sri Lanka,2019-09-26,https://idl-bnc-idrc.dspacedirect.org/handle/10625/58172,think tank,,Canada,Linear regression; Regression analysis; Roof,science and technology; society>social condition>poverty; science and technology>social sciences>economics
https://dx.doi.org/10.1073/pnas.1504964112,36.0,ipcc-959214f74a911cd6004e4833b4646f58,IPCC,"AR6 Climate Change 2022: Impacts, Adaptation and Vulnerability",2022-02-01,https://www.ipcc.ch/report/sixth-assessment-report-working-group-ii/,igo,,IGO,Climate change; IPCC Sixth Assessment Report; Climate resilience,environment; environment>natural resources>water; health
https://dx.doi.org/10.1073/pnas.1504964112,36.0,jointresearcheu-049edb9b67edcdc601c993769ad5781b,Joint Research Centre,How human mobility explains the initial spread of COVID-19,2020-07-13,https://publications.jrc.ec.europa.eu/repository/handle/JRC121300,government,agency,EU,Correlation and dependence; Regression analysis; Time series,health>diseases and conditions; science and technology; health
https://dx.doi.org/10.1073/pnas.1504964112,36.0,nber-7f68b28e0a4479fc84f64c0e8a5f130b,NBER,Mandated and Voluntary Social Distancing During The COVID-19 Epidemic: A Review,2020-11-30,https://www.nber.org/papers/w28139,think tank,,USA,Social distancing; Unemployment; Effect size,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1073/pnas.1504964112,36.0,opcwint-6d9690999426abb789ac7844592493bd,Organisation for the Prohibition of Chemical Weapons,Summary of the Second Meeting of the Scientific Advisory Board Temporary Working Group on Investigative Science and Technology,2019-01-21,https://www.opcw.org/sites/default/files/documents/2019/01/sab28wp02%28e%29.pdf,igo,,IGO,Art forgery; Douma chemical attack; TRPA1,science and technology; environment; science and technology>natural science>chemistry
https://dx.doi.org/10.1073/pnas.1504964112,36.0,unenvironment-9641807193493ee2abbb2917e2bd2dd9,United Nations Environment Programme,Shock Waves - Managing the Impacts of Climate Change on Poverty,2016-10-11,https://wedocs.unep.org/20.500.11822/7456,igo,,IGO,Economy; Natural environment; Risk,"environment; disaster, accident and emergency incident>disaster; economy, business and finance>economic sector>transport"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,unesco-35f86b196df1e4c1c86249528cf9aa2a,UNESCO,The State of broadband 2018: broadband catalyzing sustainable development,2018-01-01,https://unesdoc.unesco.org/notice?id=p::usmarcdef_0000374381,igo,,IGO,Internet of things; 5G; Internet access,"science and technology; economy, business and finance>economic sector>computing and information technology; education"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,unfccc-b2ec5c7d7c6061e4b6748cef785fe8a6,United Nations Framework Convention on Climate Change,National Adaptation plan of Ecuador,2023-03-22,https://unfccc.int/documents/627465,igo,,IGO,Earth sciences; Natural environment; Nature,environment; environment>nature; environment>natural resources>water
https://dx.doi.org/10.1073/pnas.1504964112,36.0,unicef_innocenti-8d2bc77bb06e0e67727e903a3dcf0a9c,UNICEF Office of Research - Innocenti,Ethical Considerations When Using Social Media for Evidence Generation,2018-06-13,https://www.unicef-irc.org/publications/967-ethical-considerations-when-using-social-media-for-evidence-generation-discussion.html,igo,,IGO,Social media; Privacy; U-Report,"economy, business and finance>economic sector>computing and information technology; science and technology; health"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,unitednations-2cbe9126b208b7a388b380a8039fe167,United Nations,World Development Report 2021 : data for better lives,2021-01-01,https://digitallibrary.un.org/record/3963929?ln=en,igo,,IGO,Governance; Infrastructure; Institution,"economy, business and finance>economic sector>computing and information technology; science and technology; economy, business and finance>economy"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-0706632d98e8c17bdd772cb0a7f38c62,World Bank,Toward Successful Development Policies : Insights from Research in Development Economics,2020-02-06,https://openknowledge.worldbank.org/handle/10986/33289,igo,development bank,IGO,Poverty; Climate change adaptation; Tariff,education; science and technology; education>school
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-0c003a20bec7148a6ab247aeba985e87,World Bank,Shock Waves : Managing the Impacts of Climate Change on Poverty,2015-10-21,https://openknowledge.worldbank.org/handle/10986/22787,igo,development bank,IGO,Poverty; Climate change mitigation; Climate change adaptation,"environment; environment>climate change; economy, business and finance>economic sector>transport"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-0fc12248638a415910119876b4a283ec,World Bank,Shock Waves,2016-01-01,https://hdl.handle.net/10986/22787,igo,development bank,IGO,Climate change mitigation; Poverty; Climate change adaptation,"environment; disaster, accident and emergency incident>disaster; economy, business and finance>economic sector>transport"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-265be945df13978db79db75fa3e33505,World Bank,Assessing Bias in Smartphone Mobility Estimates in Low Income Countries,2021-11-19,https://openknowledge.worldbank.org/handle/10986/36611,igo,development bank,IGO,Smartphone; Mobile app; Feature phone,"science and technology; economy, business and finance>economic sector>computing and information technology; health"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-3dd2068b11beaedf488ae2fcca419ad2,World Bank,World Development Report 2021,2021-03-24,https://hdl.handle.net/10986/35218,igo,development bank,IGO,Tax; Official statistics; Data governance,"economy, business and finance>economic sector>computing and information technology; economy, business and finance>economy; economy, business and finance>economy"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-78abc5d3311818037890a8bfb6837226,World Bank,Information and Communications for Development 2018,2018-10-15,https://hdl.handle.net/10986/30437,igo,development bank,IGO,Cost of living; Internet; DE-CIX,"economy, business and finance>economic sector>computing and information technology; economy, business and finance>economic sector>computing and information technology>software; science and technology"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-84a0c78fbbadb7d94fabcc5b6bc53cca,World Bank,Using Mobile Phone Data to Reduce Spread of Disease,2020-03-01,https://hdl.handle.net/10986/33520,igo,development bank,IGO,Malaria; Infection; Tropical medicine,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-935998f6340561c05350fc0e52be3a83,World Bank,World Development Report 2021 : Data for Better Lives,2021-03-08,https://openknowledge.worldbank.org/handle/10986/35218,igo,development bank,IGO,Governance; Tax; Census,"economy, business and finance>economic sector>computing and information technology; science and technology; economy, business and finance>economic sector>computing and information technology>software"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-99efdc24ef4babb3fe91867d9a035aeb,World Bank,Toward Successful Development Policies,2020-01-01,https://hdl.handle.net/10986/33289,igo,development bank,IGO,Economy; Free trade; Stunted growth,"education; economy, business and finance>economy; science and technology"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-c02c02ff0f823c5d45e3d237a5a3a5b2,World Bank,Shock Waves: Managing the Impacts of Climate Change on Poverty,2015-10-31,http://hdl.handle.net/10986/22787,igo,development bank,IGO,Climate change mitigation; Poverty; Climate change adaptation,"environment; disaster, accident and emergency incident>disaster; economy, business and finance>economic sector>transport"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-d16a5b6c833528b3ed5fcb78103eaa49,World Bank,Information and Communications for Development 2018 : Data-Driven Development,2018-09-25,https://openknowledge.worldbank.org/handle/10986/30437,igo,development bank,IGO,Internet access; Internet of things; Machine to machine,"economy, business and finance>economic sector>computing and information technology; economy, business and finance>economic sector>media; economy, business and finance>economic sector"
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-e0b3f7ae972f569bd465ce698df286b7,World Bank,Using Mobile Phone Data to Reduce Spread of Disease,2020-04-02,https://openknowledge.worldbank.org/handle/10986/33520,igo,development bank,IGO,Malaria; Infection; Tropical medicine,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.1073/pnas.1504964112,36.0,worldbank-e81b87e2db7fe093cdfb5f2f098fbb4e,World Bank,Assessing Bias in Smartphone Mobility Estimates in Low Income Countries,2021-06-28,https://hdl.handle.net/10986/36611,igo,development bank,IGO,Technology; Landline; Developing country,"science and technology; economy, business and finance>economic sector>computing and information technology; health"
https://dx.doi.org/10.1093/jac/dkw247,1.0,stateofqueensland-c0d60b75df39c5288f93cad37bfa21fc,State of Queensland,2016,2017-08-18,https://metronorth.health.qld.gov.au/wp-content/uploads/2018/01/rbwh-research-report-2016-full.pdf,government,,Australia,Physical therapy; Telehealth; Health care,health>diseases and conditions; health; health>diseases and conditions>illness
https://dx.doi.org/10.5588/ijtld.13.0571,1.0,who-301ab53d4232d7505842274971743620,World Health Organization,2015 update,2015-06-04,https://apps.who.int/iris/handle/10665/174052,igo,healthcare agency,IGO,Tuberculosis; HIV/AIDS; World Health Organization,health; health>diseases and conditions>communicable disease>virus disease; health>health treatment
https://dx.doi.org/10.1001/archpedi.1995.02170240035005,4.0,governmentofcanada-1314dcd583baaad553cf19d5fa8af37a,Government of Canada,Relevé des maladies transmissibles au Canada. Une dèclaration d'un comitè consultatif (DCC) : H12-21-2/29-8-PDF Publications - Canada.ca,2003-01-01,http://publications.gc.ca/site/eng/9.582254/publication.html,government,,Canada,Respiratory syncytial virus; Bronchiolitis; Epidemiology,health>diseases and conditions>illness; health>diseases and conditions; health
https://dx.doi.org/10.1001/archpedi.1995.02170240035005,4.0,governmentofcanada-3a4189b974ef27c91956c41df376e095,Government of Canada,Canada communicable disease report. An advisory committee statement (ACS) : H12-21-2/29-7-PDF Publications - Canada.ca,2003-01-01,http://publications.gc.ca/site/eng/9.582255/publication.html,government,,Canada,Palivizumab; Respiratory syncytial virus; Bronchiolitis,health>diseases and conditions>illness; health>diseases and conditions; health
https://dx.doi.org/10.1001/archpedi.1995.02170240035005,4.0,governmentofcanada-6cee3a3b9c8fe1a468b30f3d3300f030,Government of Canada,Relevé des maladies transmissibles au Canada. Une dèclaration d'un comitè consultatif (DCC) : H12-21-2/29-7-PDF Publications - Canada.ca,2003-01-01,http://publications.gc.ca/site/eng/9.582256/publication.html,government,,Canada,Palivizumab; Respiratory syncytial virus; Bronchiolitis,health>diseases and conditions>illness; health>diseases and conditions; health
https://dx.doi.org/10.1001/archpedi.1995.02170240035005,4.0,governmentofcanada-71d790b963348487aa7272765d1dffcd,Government of Canada,Canada communicable disease report. An advisory committee statement (ACS) : H12-21-2/29-8-PDF Publications - Canada.ca,2003-01-01,http://publications.gc.ca/site/eng/9.582253/publication.html,government,,Canada,Health; Medicine; Clinical medicine,health>diseases and conditions>illness; health>diseases and conditions; health
https://dx.doi.org/10.1097/00042560-199804150-00012,2.0,unaids-68c0b96b8f1789b3f40012609a5bb304,UNAIDS,Migrant Populations and HIV/AIDS,2000-08-11,https://www.unaids.org/en/resources/documents/2000/20000811_jc397-migrantpop_en.pdf,igo,,IGO,HIV/AIDS; Evaluation; Health,education; health>diseases and conditions; health
https://dx.doi.org/10.1097/00042560-199804150-00012,2.0,unitednations-5343ca0a97ca5a72a58a088bd6449040,United Nations,"Migrant populations and HIV/AIDS :the development and implementation of programmes: theory, methodology and practice",2000-06-01,https://digitallibrary.un.org/record/3957178?ln=en,igo,,IGO,Information; Self-report study; Sexually transmitted infection,health; science and technology; politics
https://dx.doi.org/10.21037/jtd.2020.02.64,6.0,governmentofindonesia-83472b61d34d2a59f622aa85c0407d9e,Government of Indonesia,An analysis of Covid-19 transmission in Indonesia and Saudi Arabia,2020-06-03,http://download.garuda.kemdikbud.go.id/article.php?article=1726565&val=12227&title=AN%20ANALYSIS%20OF%20COVID-19%20TRANSMISSION%20IN%20INDONESIA%20AND%20SAUDI%20ARABIA,government,,Indonesia,Compartmental models in epidemiology; Medical statistics; Clinical medicine,science and technology>mathematics; science and technology; health>diseases and conditions
https://dx.doi.org/10.21037/jtd.2020.02.64,6.0,nber-4f01abf470311b5eb1d24b48476b812a,NBER,Bayesian Adaptive Clinical Trials for Anti‐Infective Therapeutics during Epidemic Outbreaks,2020-05-14,https://www.nber.org/papers/w27175,think tank,,USA,Compartmental models in epidemiology; Type I and type II errors; Infection,health>diseases and conditions; health; science and technology
https://dx.doi.org/10.21037/jtd.2020.02.64,6.0,oecddiscovery-73994c4e34072288606d75f49deb3de7,OECD,Études économiques de l'OCDE : Chine 2022 (version abrégée),2022-08-12,https://dx.doi.org/https://doi.org/10.1787/567b8724-fr,igo,,IGO,Bank; Funding; Debt,"economy, business and finance>economic sector>financial and business service>banking; economy, business and finance>economy; economy, business and finance>economy>macro economics>credit and debt"
https://dx.doi.org/10.21037/jtd.2020.02.64,6.0,oecddiscovery-ff706a34f858548a416b97c0dd6773db,OECD,OECD Economic Surveys: China 2022,2022-03-18,https://dx.doi.org/10.1787/b0e499cf-en,igo,,IGO,Economy; Government debt; OECD,"economy, business and finance>economy; economy, business and finance>economic sector>financial and business service>personal income; economy, business and finance>economy>macro economics>credit and debt"
https://dx.doi.org/10.21037/jtd.2020.02.64,6.0,worldbank-4e4424f82b15923ff55b9805721b4858,World Bank,Modeling and Predicting the Spread of Covid-19,2020-10-01,https://hdl.handle.net/10986/34590,igo,development bank,IGO,Econometrics; Coronavirus disease 2019; Logarithm,health>diseases and conditions; science and technology; science and technology>mathematics
https://dx.doi.org/10.21037/jtd.2020.02.64,6.0,worldbank-d443e4524d34193786a3b6a88804cb40,World Bank,"Modeling and Predicting the Spread of Covid-19 : Comparative Results for the United States, the Philippines, and South Africa",2020-10-08,https://openknowledge.worldbank.org/handle/10986/34590,igo,development bank,IGO,Econometrics; Coronavirus disease 2019; Logarithm,health>diseases and conditions; science and technology; science and technology>mathematics
https://dx.doi.org/10.1002/psp4.12591,1.0,who-d420f491ae94a36cf0a1ccd6acc463e4,World Health Organization,WHO operational handbook on tuberculosis: module 3: diagnosis: rapid diagnostics for tuberculosis detection: web annex B: critical concentrations for pretomanid and cycloserine: WHO policy statement,2024-01-01,https://apps.who.int/iris/handle/10665/376285,igo,healthcare agency,IGO,Minimum inhibitory concentration; Multidrug-resistant tuberculosis; Tuberculosis,science and technology>biomedical science>pharmacology; science and technology; health>diseases and conditions
https://dx.doi.org/10.1086/597305,1.0,adminch-786e860838cf1fef456edb3537d34b27,Government of Switzerland,Human Immunodeficiency Virus Drug Resistance : 2018 Recommendations of the International Antiviral Society – USA Panel,2018-12-28,https://www.bag.admin.ch/dam/bag/it/dokumente/kuv-leistungen/referenzdokument-klv-anhang-3/hiv-drug-resistance-recommendations.pdf.download.pdf/HIV_Drug_Resistance_recommendations.pdf,government,,Switzerland,Management of HIV/AIDS; HIV/AIDS; HIV,science and technology>natural science>biology; science and technology>natural science>biology>genetics; health>diseases and conditions>communicable disease>virus disease
